,CO2
G04.01.15,-0.094059124
G04.02.15,3.455005609
G04.03.15,0.866573913
G00.01.16,-0.299322517
G00.02.16,2.099385287
bk11,-0.19623982
G02.01.16,1.902261638
bk12,0.308280492
bk13,-0.019673702
bk14,0.062511964
bk15,0.041376868
bk16,0.063393187
bk17,-0.148992504
bk18,-0.110722553
bk19,-0.275838364
G00.01.17,0.015290458
G00.02.17,1.071694369
G00.03.17,2.395370246
G02.01.17,1.748363733
G02.02.17,2.13917579
G02.03.17,2.259496818
G03.01.17,0.964312899
G03.02.17,2.284019296
G03.03.17,0.568252717
G04.01.17,2.599373489
G04.02.17,0.401512446
G04.03.17,1.002615544
G00.01.18,0.642720046
G00.02.18,0.211831053
G00.03.18,3.023291151
G02.01.18,1.908979248
G02.02.18,2.508283134
G02.03.18,3.406806431
G03.01.18,0.982963796
G03.02.18,0.837826215
G03.03.18,0.226837488
G04.01.18,2.738986943
G04.02.18,2.367880099
G04.03.18,1.241526119
G00.01.19,0.52694935
G00.02.19,1.702483813
G00.03.19,0.157694615
G02.01.19,3.506885106
G02.02.19,2.244488777
G02.03.19,2.284707819
G03.01.19,0.698709631
G03.02.19,1.022581043
G03.03.19,2.504336612
G04.01.19,0.442267612
G04.02.19,3.125639875
G04.03.19,1.125321154
G00.01.20,0.214887124
G00.02.20,0.04343967
G00.03.20,3.364327043
G02.01.20,0.126113261
G02.02.20,3.203624541
G02.03.20,1.077216135
G03.01.20,0.380585694
G03.02.20,0.974454129
G03.03.20,2.44645392
G04.01.20,0.625781584
G04.02.20,3.161282489
G04.03.20,0.652459031
G00.01.21,0.069632561
G00.02.21,0.763624693
G00.03.21,0.129206157
G02.01.21,2.534642353
G02.02.21,2.597062954
G02.03.21,0.235944156
G03.01.21,1.236955179
G03.02.21,0.611847325
G03.03.21,0.91207054
G04.01.21,0.778677872
G04.02.21,0.109962498
G04.03.21,0.134768376
G00.01.22,0.783192161
G00.02.22,2.628672546
G00.03.22,0.015111026
G02.01.22,0.343718168
G02.02.22,3.188952226
G02.03.22,2.645272929
G03.01.22,2.906293399
G03.02.22,0.310257159
G03.03.22,2.797843703
G04.01.22,2.501126641
G04.02.22,0.124390517
G04.03.22,2.460880039
G00.01.23,0.09896551
G00.02.23,0.01099227
G00.03.23,0.652055968
G02.01.23,0.018827593
G02.02.23,1.828679789
G02.03.23,1.931152842
G03.01.23,2.060823907
G03.02.23,2.847157909
G03.03.23,0.236497095
G04.01.23,2.872288158
G04.02.23,0.596795953
G04.03.23,0.134138641
G00.01.24,0.195901688
G00.02.24,1.93928153
G00.03.24,0.795795178
bk20,-0.070693295
bk21,0.112284597
bk22,0.207479439
bk23,0.061617069
bk24,0.019322105
bk25,-0.365190403
bk26,0.038026488
bk27,-0.002694681
bk28,-0.477493691
G00.01.25,0.355604279
G00.02.25,0.735388131
G00.03.25,0.600110076
G02.01.25,3.295690736
G02.02.25,-0.067747291
G02.03.25,-0.063844921
G03.01.25,0.77340532
G03.02.25,0.171387786
G03.03.25,0.781594387
G04.01.25,0.92050442
G04.02.25,2.832547929
G04.03.25,2.357243357
G00.01.26,0.020654524
G00.02.26,0.285220377
G00.03.26,0.960455293
G02.01.26,0.963655551
G02.02.26,1.668337489
G02.03.26,0.494785778
G03.01.26,1.21528271
G03.02.26,0.038026112
G03.03.26,2.44123575
G04.01.26,2.210652319
G04.02.26,1.20546563
G04.03.26,0.038452013
G00.01.27,0.07517753
G00.02.27,0.04879167
G00.03.27,0.027671241
G02.01.27,1.06589264
G02.02.27,2.020374936
G02.03.27,2.116051981
G03.01.27,0.553119285
G03.02.27,0.587301876
G03.03.27,0.112627608
G04.01.27,0.793070345
G04.02.27,0.450389476
G04.03.27,0.062958998
G00.01.28,0.966748428
G00.02.28,0.656538098
G00.03.28,0.263870751
G02.01.28,0.927187622
G02.02.28,2.959193056
G02.03.28,2.825792225
G03.01.28,0.729857486
G03.02.28,2.783527325
G03.03.28,2.744810063
G04.01.28,0.844989776
G04.02.28,0.180493605
G04.03.28,0.11041607
G00.01.29,1.027884846
G00.02.29,2.888558524
G00.03.29,0.151475684
G02.01.29,0.420198924
G02.02.29,2.33562858
G02.03.29,2.588001908
G03.01.29,0.154199259
G03.02.29,0.112340218
G03.03.29,2.396061512
G04.01.29,0.122031212
G04.02.29,3.059529539
G04.03.29,0.053161338
G00.01.30,0.50619845
G00.02.30,0.357703786
G00.03.30,0.094655063
G02.01.30,0.978514513
G02.02.30,2.158688171
G02.03.30,2.107796383
G03.01.30,0.091777692
G03.02.30,1.618759198
G03.03.30,1.885037016
G04.01.30,0.114809784
G04.02.30,0.068120626
G04.03.30,-0.061860957
G00.01.31,0.312367349
G00.02.31,0.5181964
G00.03.31,0.054197466
G02.01.31,3.439129717
G02.02.31,3.177539877
G02.03.31,0.592778351
G03.01.31,1.28734907
G03.02.31,0.605592597
G03.03.31,0.103867726
G04.01.31,0.138633068
G04.02.31,0.126732588
G04.03.31,-0.437857397
G00.01.32,0.144298296
G00.02.32,1.731066695
bk29,-0.055488183
bk30,-0.052256401
bk31,0.048885557
bk32,0.006091569
bk33,0.05185573
bk34,-0.046135469
bk35,-0.050829539
bk36,0.08396948
bk37,0.01365359
bk38,-0.483280888
G00.01.33,2.294176587
G00.02.33,0.710255985
G00.03.33,0.07410538
G02.01.33,0.028087333
G02.02.33,2.850261402
G02.03.33,2.127171185
NA1,0
NA9,0
NA17,0
NA25,0
NA33,0
NA41,0
G00.01.34,0.915931283
G00.02.34,0.887364523
G00.03.34,0.072222578
G02.01.34,0.071671975
G02.02.34,3.3911302
G02.03.34,2.707075758
NA2,0
NA10,0
NA18,0
NA26,0
NA34,0
NA42,0
G00.01.35,0.144210397
G00.02.35,2.902561187
G00.03.35,0.079993086
G02.01.35,0.12645281
G02.02.35,2.962555711
G02.03.35,1.751161408
NA3,0
NA11,0
NA19,0
NA27,0
NA35,0
NA43,0
G00.01.36,0.836217005
G00.02.36,0.277123242
G00.03.36,0.04943518
G02.01.36,0.051550805
G02.02.36,0.622723283
G02.03.36,1.875212359
NA4,0
NA12,0
NA20,0
NA28,0
NA36,0
NA44,0
G00.01.37,0.311553461
G00.02.37,2.243277175
G00.03.37,0.05237228
G02.01.37,0.075305534
G02.02.37,0.176144237
G02.03.37,1.941013306
NA5,0
NA13,0
NA21,0
NA29,0
NA37,0
NA45,0
G00.01.38,0.09840667
G00.02.38,0.197016279
G00.03.38,0.010109782
G02.01.38,0.032578695
G02.02.38,0.053231398
G02.03.38,0.07639989
NA6,0
NA14,0
NA22,0
NA30,0
NA38,0
NA46,0
G00.01.39,0.063113741
G00.02.39,0.45616809
G00.03.39,0.062730343
G02.01.39,0.037036875
G02.02.39,0.115540135
G02.03.39,0.058748878
NA7,0
NA15,0
NA23,0
NA31,0
NA39,0
NA47,0
G00.01.40,0.873707613
G00.02.40,0.239763091
G00.03.40,-0.018408394
G02.01.40,0.006771912
G02.02.40,0.023493815
G02.03.40,0.014289388
NA8,0
NA16,0
NA24,0
NA32,0
NA40,0
NA48,0
G07.04.01,1.226257918
G07.05.01,2.463223687
G08.01.01,1.339531826
G08.02.01,3.42406382
G09.01.01,1.22364336
G09.02.01,1.523120404
G10.02.01,-0.090092263
G07.06.01,2.106080514
G08.03.01,1.476680818
G08.04.01,-0.057407057
G09.03.01,0.994357776
G10.01.01,1.270293559
G07.04.02,2.023405683
G07.05.02,0.7041793
G08.01.02,4.309049585
G08.02.02,2.481960771
G09.01.02,1.430495421
G09.02.02,2.069502893
G10.02.02,2.408086201
G07.06.02,2.723338055
G08.03.02,1.622403168
G08.04.02,-0.067581282
G09.03.02,0.497716326
G10.01.02,-0.094347008
G07.04.03,1.880174707
G07.05.03,2.15472245
G08.01.03,1.674559433
G08.02.03,1.549066378
G09.01.03,1.707862292
G09.02.03,0.827766154
G10.02.03,0.0518374
G07.06.03,0.0339753
G08.03.03,3.241400553
G08.04.03,3.206910509
G09.03.03,0.470999011
G10.01.03,0.027310798
G07.04.04,1.582995606
G07.05.04,0.365746094
G08.01.04,0.890062922
G08.02.04,1.587880923
G09.01.04,0.201898048
G09.02.04,1.7114487
G10.02.04,0.057810828
G07.06.04,-0.027956458
G08.03.04,3.834475872
G08.04.04,0.025646575
G09.03.04,0.720047388
G10.01.04,1.603417413
G07.04.05,2.075309598
G07.05.05,3.144957745
G08.01.05,3.375250256
G08.02.05,1.717350404
G09.01.05,0.198683081
G09.02.05,0.84818879
G10.02.05,0.526033874
G07.06.05,2.587232346
G08.03.05,2.116850931
G08.04.05,0.050491434
G09.03.05,3.258225343
G10.01.05,1.709323983
G07.04.06,2.038053839
G07.05.06,3.069394691
G08.01.06,3.231274196
G08.02.06,1.902438573
G09.01.06,2.058430464
G09.02.06,1.643366684
G10.02.06,2.116159515
G07.06.06,2.761147932
G08.03.06,1.63306134
G08.04.06,0.352906568
G09.03.06,-0.014143741
G10.01.06,1.457348027
G07.04.07,0.956812559
G07.05.07,2.673633641
G08.01.07,0.933649369
G08.02.07,3.181312165
G09.01.07,0.460334075
G09.02.07,0.927263747
G10.02.07,2.967631929
G07.06.07,2.18735317
G08.03.07,1.823716505
G08.04.07,3.159364754
G09.03.07,1.046154293
G10.01.07,1.597752649
G07.04.08,3.302715355
G07.05.08,2.167730242
G08.01.08,3.259044242
G08.02.08,1.740744859
G09.01.08,-0.043188657
G09.02.08,1.06298718
G10.02.08,-0.157839817
G07.06.08,2.763640006
G08.03.08,3.468983972
bk39,-0.18220556
bk40,-0.094036775
bk41,-0.268198721
G07.04.09,2.553003345
G07.05.09,2.131488753
G08.01.09,0.218955069
G08.02.09,2.487035347
G09.01.09,2.453735283
G09.02.09,0.885899453
G10.02.09,1.919769031
G07.06.09,-0.570428834
G08.03.09,0.151307939
G08.04.09,0.786295378
G09.03.09,1.562707911
G10.01.09,1.510314812
G07.04.10,3.454857135
G07.05.10,-0.027903855
G08.01.10,3.759543898
G08.02.10,1.515437828
G09.01.10,0.085556907
G09.02.10,0.092135095
G10.02.10,1.8394503
G07.06.10,3.892637733
G08.03.10,1.086091844
G08.04.10,0.138198959
G09.03.10,-11.31712959
G10.01.10,0.63604403
G07.04.11,1.911384763
G07.05.11,3.182607202
G08.01.11,1.493302176
G08.02.11,1.945804052
G09.01.11,2.053741664
G09.02.11,2.990297293
G10.02.11,0.036523852
G07.06.11,0.710904315
G08.03.11,1.393558134
G08.04.11,-0.015553893
G09.03.11,0.286178126
G10.01.11,0.01369646
G07.04.12,3.061500484
G07.05.12,0.592817242
G08.01.12,1.132535771
G08.02.12,2.259516674
G09.01.12,1.983381934
G09.02.12,2.602598613
G10.02.12,2.971163708
G07.06.12,0.090486518
G08.03.12,0.124466704
G08.04.12,0.096520206
G09.03.12,0.30227228
G10.01.12,1.936597827
G07.04.13,1.642681549
G07.05.13,2.734822097
G08.01.13,3.597602841
G08.02.13,2.028246224
G09.01.13,1.87025826
G09.02.13,0.609117748
G10.02.13,2.095413359
G07.06.13,2.740995133
G08.03.13,2.00024279
G08.04.13,-0.195782143
G09.03.13,0.160532094
G10.01.13,-0.188961921
G07.04.14,-0.17134279
G07.05.14,2.184126841
G08.01.14,3.586719365
G08.02.14,2.007236422
G09.01.14,0.100848056
G09.02.14,1.459119726
G10.02.14,2.50807147
G07.06.14,1.096828331
G08.03.14,1.234103447
G08.04.14,0.258042397
G09.03.14,0.533045954
G10.01.14,1.642762414
G07.04.15,1.424556865
G07.05.15,2.775644241
G08.01.15,-0.009128427
G08.02.15,2.257489467
G09.01.15,2.028034345
G09.02.15,0.240684711
G10.02.15,-0.598266931
G07.06.15,-0.807480545
G08.03.15,1.544183365
G08.04.15,3.965516805
G09.03.15,0.594617211
G10.01.15,0.098689968
G07.04.16,3.535009365
G07.05.16,2.236792609
G08.01.16,3.86386816
G08.02.16,2.247201883
G09.01.16,2.099650013
G09.02.16,0.648597081
bk42,0.016749802
G07.06.16,3.288130582
G08.03.16,3.564572794
bk43,-0.617197392
bk44,0.008555105
bk45,0.293338599
G07.04.17,2.895086355
G07.05.17,2.71354504
G08.01.17,-0.04364975
G08.02.17,1.698996836
G09.01.17,1.509704506
G09.02.17,2.467084067
G10.02.17,2.832295845
G08.02.25,1.547778144
G08.03.17,1.269163989
G08.04.17,-0.030213293
G09.02.25,2.570247911
G10.01.17,1.424947773
G07.04.18,1.553837522
G07.05.18,1.314028193
G08.01.18,-0.042189545
G08.02.18,1.657331199
G09.01.18,1.590355477
G09.02.18,0.026312943
G10.02.18,-0.001888
G08.02.26,1.677822383
G08.03.18,1.350219626
G08.04.18,-0.059078839
G09.02.26,0.759734388
G10.01.18,1.505977954
G07.04.19,1.618625926
G07.05.19,1.773643305
G08.01.19,1.648712919
G08.02.19,2.081454788
G09.01.19,1.355948942
G09.02.19,1.385488325
G10.02.19,2.679873953
G08.02.27,1.572643397
G08.03.19,1.716398275
G08.04.19,0.026357053
G09.02.27,0.857810825
G10.01.19,0.012234898
G07.04.20,1.363272089
G07.05.20,1.11362284
G08.01.20,3.19847764
G08.02.20,1.433869484
G09.01.20,1.617049457
G09.02.20,1.519066393
G10.02.20,2.944285711
G08.02.28,1.550484421
G08.03.20,1.331920429
G08.04.20,0.055596668
G09.02.28,0.940319399
G10.01.20,1.665465557
G07.04.21,1.478231278
G07.05.21,2.467696996
G08.01.21,1.473602263
G08.02.21,2.797130682
G09.01.21,1.46991881
G09.02.21,0.466351278
G10.02.21,0.104009429
G08.02.29,1.519840093
G08.03.21,1.251282216
G08.04.21,0.057342336
G09.02.29,2.965474847
G10.01.21,1.449380405
G07.04.22,1.314165447
G07.05.22,0.08056593
G08.01.22,0.087186281
G08.02.22,1.326890222
G09.01.22,0.075671369
G09.02.22,1.476788939
G10.02.22,2.83081805
G08.02.30,2.006171388
G08.03.22,0.489237356
G08.04.22,0.05526754
G09.02.30,0.879430959
G10.01.22,1.599267372
G07.04.23,0.038425027
G07.05.23,0.677666238
G08.01.23,0.743088122
G08.02.23,1.699017386
G09.01.23,0.027679008
G09.02.23,1.166620286
G10.02.23,0.028466179
G08.02.31,3.079820762
G08.03.23,1.73243281
G08.04.23,0.01519759
G09.02.31,1.107397416
G10.01.23,-0.001479629
G07.04.24,0.935003706
G07.05.24,1.623872631
G08.01.24,-0.075416697
G08.02.24,-0.072271039
G09.01.24,-0.01130379
G09.02.24,0.795279439
bk46,0.03970293
G08.02.32,1.576537177
G08.03.24,1.15032499
bk47,-0.050520417
bk48,-0.003226787
bk49,-0.002995612
G05.01.01,4.236691387
G05.02.01,5.269577809
G05.03.01,2.468943218
G05.04.01,1.520457795
G06.01.01,2.917464193
G06.02.01,1.844894541
G06.03.01,1.807927064
G07.01.01,2.518495747
G07.02.01,0.764806656
G07.03.01,0.081526634
G08.06.01,0.439627173
G09.08.01,2.462817338
G05.01.02,2.862376124
G05.02.02,5.333355818
G05.03.02,0.439385341
G05.04.02,4.883193817
G06.01.02,3.176588111
G06.02.02,3.88899509
G06.03.02,4.497169054
G07.01.02,0.995412242
G07.02.02,0.102534993
G07.03.02,0.202534515
G08.06.02,3.417334312
G09.08.02,2.213201862
G05.01.03,4.640090348
G05.02.03,2.136851669
G05.03.03,5.438479187
G05.04.03,4.483283595
G06.01.03,2.19370523
G06.02.03,4.795345816
G06.03.03,4.824377123
G07.01.03,3.285867491
G07.02.03,1.57386809
G07.03.03,2.832004225
G08.06.03,1.497643781
G09.08.03,2.903860761
G05.01.04,3.944414682
G05.02.04,4.892305136
G05.03.04,0.892295466
G05.04.04,0.952833998
G06.01.04,3.668871686
G06.02.04,1.26209787
G06.03.04,3.406924603
G07.01.04,2.830351051
G07.02.04,3.075658736
G07.03.04,1.041890461
G08.06.04,0.390499847
G09.08.04,5.196317073
G05.01.05,3.06911754
G05.02.05,1.887007236
G05.03.05,4.977097944
G05.04.05,1.657777318
G06.01.05,2.724608202
G06.02.05,2.544121551
G06.03.05,1.90843987
G07.01.05,2.640816209
G07.02.05,0.230509194
G07.03.05,0.491804382
G08.06.05,0.297970945
G09.08.05,3.268909751
G05.01.06,1.430373137
G05.02.06,5.522122574
G05.03.06,3.784176383
G05.04.06,4.519109707
G06.01.06,3.454522427
G06.02.06,2.462130772
G06.03.06,1.961023874
G07.01.06,2.680305347
G07.02.06,0.469767148
G07.03.06,0.679043316
G08.06.06,3.086359692
G09.08.06,2.851271999
G05.01.07,4.641960668
G05.02.07,4.883543905
G05.03.07,-0.039729671
G05.04.07,3.905635734
G06.01.07,2.888957745
G06.02.07,5.293433096
G06.03.07,4.722589873
G07.01.07,4.167833986
G07.02.07,0.493146721
G07.03.07,-0.278428806
G08.06.07,0.333097576
G09.08.07,2.907773894
G05.01.08,4.432952033
bk50,-0.234021529
bk51,-0.241208616
bk52,-0.190344577
G06.01.08,1.116857223
bk53,-0.248711646
bk54,-0.212011277
G07.01.08,3.359200919
G07.02.08,0.470471349
bk55,-0.308300517
bk56,1.813123
bk57,-0.313442957
G05.01.09,4.588766678
G05.02.09,5.348858623
bk58,-0.151300214
bk66,-0.119337009
G06.01.09,2.679630041
G06.02.09,3.037391003
bk74,-0.114441353
G07.01.09,2.792739677
G07.02.09,0.507066823
bk82,-0.144006874
G08.06.09,2.826129242
G09.08.09,2.589945112
G05.01.10,5.043668975
G05.02.10,5.431718769
bk59,-0.070889059
bk67,-0.063564064
G06.01.10,3.853038139
G06.02.10,4.797548051
bk75,0.041272824
G07.01.10,3.238305924
G07.02.10,1.094446903
bk83,-0.035948534
G08.06.10,2.976066713
G09.08.10,2.867186122
G05.01.11,2.429152208
G05.02.11,5.076706356
bk60,0.07184836
bk68,-0.043788988
G06.01.11,2.700143226
G06.02.11,1.468482933
bk76,0.04824017
G07.01.11,3.94033098
G07.02.11,2.236033282
bk84,0.043777809
G08.06.11,3.136252759
G09.08.11,2.387968083
G05.01.12,4.709265601
G05.02.12,5.185070684
bk61,0.096207311
bk69,0.167379485
G06.01.12,2.208812758
G06.02.12,1.056901149
bk77,0.062711124
G07.01.12,3.951129589
G07.02.12,0.062343937
bk85,0.00016413
G08.06.12,0.156297277
G09.08.12,2.517932389
G05.01.13,5.627249347
G05.02.13,3.29394729
bk62,0.047041546
bk70,0.132950413
G06.01.13,2.945368513
G06.02.13,0.419694021
bk78,0.060181535
G07.01.13,3.730202163
G07.02.13,3.528810024
bk86,0.168552152
G08.06.13,1.460701422
G09.08.13,3.955062943
G05.01.14,5.036754624
G05.02.14,1.661394831
bk63,0.149373409
bk71,-0.007550821
G06.01.14,0.087225942
G06.02.14,0.41977867
bk79,0.019768763
G07.01.14,4.181299756
G07.02.14,0.037808505
bk87,0.0316977
G08.06.14,3.08147114
G09.08.14,3.818487632
G05.01.15,2.120021457
G05.02.15,5.107552564
bk64,0.029728419
bk72,0.025321451
G06.01.15,0.018097942
G06.02.15,0.396821175
bk80,-0.021917311
G07.01.15,4.535892085
G07.02.15,-0.002648483
bk88,0.015632847
G08.06.15,2.074469885
G09.08.15,4.462195531
G05.01.16,-0.043507437
G05.02.16,-0.07330625
bk65,-0.060746487
bk73,-0.103406819
G06.01.16,0.491832153
G06.02.16,3.494617525
bk81,0.061417635
G07.01.16,4.175328655
G07.02.16,-0.048140112
bk89,-0.055984723
G08.06.16,3.433953646
G09.08.16,-0.101663982
G05.01.17,1.815282477
G05.02.17,5.207241651
G05.03.17,0.068424238
G05.04.17,5.00235364
G06.01.17,1.357531888
G06.02.17,3.228087832
G06.03.17,2.594052523
G07.01.17,5.287317718
G07.02.17,5.406102375
G07.03.17,2.902447738
G08.06.17,0.412696774
G09.08.17,4.331553934
G05.01.18,0.114050976
G05.02.18,4.068914372
G05.03.18,6.508037893
G05.04.18,3.81091521
G06.01.18,3.83074676
G06.02.18,4.479817363
G06.03.18,3.781289187
G07.01.18,5.375660342
G07.02.18,5.498160661
G07.03.18,2.376907189
G08.06.18,2.268529621
G09.08.18,3.355415046
G05.01.19,2.776723358
G05.02.19,6.55433689
G05.03.19,1.258798903
G05.04.19,0.093769053
G06.01.19,2.832352012
G06.02.19,0.559087421
G06.03.19,3.517398984
G07.01.19,4.562682165
G07.02.19,1.980599867
G07.03.19,2.224143886
G08.06.19,3.980294606
G09.08.19,3.062626762
G05.01.20,6.384893164
G05.02.20,5.885826083
G05.03.20,5.937138599
G05.04.20,0.746504631
G06.01.20,3.143593186
G06.02.20,3.115297357
G06.03.20,2.535411964
G07.01.20,4.580957315
G07.02.20,4.706457145
G07.03.20,2.945768278
G08.06.20,2.779930612
G09.08.20,0.049688611
G05.01.21,5.210790808
G05.02.21,6.706881599
G05.03.21,5.76355482
G05.04.21,2.501756207
G06.01.21,3.444151165
G06.02.21,5.277642884
G06.03.21,2.197581781
G07.01.21,5.556487724
G07.02.21,4.923455952
G07.03.21,4.86893407
G08.06.21,3.411231609
G09.08.21,3.037955623
G05.01.22,5.605001163
G05.02.22,5.623219285
G05.03.22,5.830492089
G05.04.22,5.564128131
G06.01.22,2.874031481
G06.02.22,4.494374108
G06.03.22,1.072489304
G07.01.22,4.345745949
G07.02.22,6.143584439
G07.03.22,5.114549708
G08.06.22,2.840905055
G09.08.22,5.378914624
G05.01.23,5.809405604
G05.02.23,6.003749334
G05.03.23,6.271800657
G05.04.23,2.759490495
G06.01.23,4.575947991
G06.02.23,4.242172314
G06.03.23,0.027583736
G07.01.23,4.309936425
G07.02.23,0.063544887
G07.03.23,3.924763719
G08.06.23,4.845597014
G09.08.23,4.575811942
G05.01.24,3.520141701
G05.02.24,5.616778337
bk90,-0.187458936
bk91,-0.135892269
bk92,-0.019017888
G06.02.24,1.912540993
G06.03.24,-0.079639907
G07.01.24,4.826094819
G07.02.24,-0.086302137
bk93,-0.131652195
bk94,0.016551546
bk95,-0.19858749
